serial_number,element_id,model_number,ai_decision,human_decision
RTD-2026-00068,ELEM-00068,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00069,ELEM-00069,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00070,ELEM-00070,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00071,ELEM-00071,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00072,ELEM-00072,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00073,ELEM-00073,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00074,ELEM-00074,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00075,ELEM-00075,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00076,ELEM-00076,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00077,ELEM-00077,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00078,ELEM-00078,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00079,ELEM-00079,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00080,ELEM-00080,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00081,ELEM-00081,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00082,ELEM-00082,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00083,ELEM-00083,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00084,ELEM-00084,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00085,ELEM-00085,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00086,ELEM-00086,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00087,ELEM-00087,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00088,ELEM-00088,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00089,ELEM-00089,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00090,ELEM-00090,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00091,ELEM-00091,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00092,ELEM-00092,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00093,ELEM-00093,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00094,ELEM-00094,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00095,ELEM-00095,0068P41AAZAZ,REJECT,REJECT
RTD-2026-00096,ELEM-00096,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00097,ELEM-00097,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00098,ELEM-00098,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00099,ELEM-00099,0068P41AAZAZ,ACCEPT,ACCEPT
RTD-2026-00100,ELEM-00100,0068P41AAZAZ,ACCEPT,ACCEPT
